,Date,Season,Year,Month,Holiday,Week_day,Working_day,Weather,Temperature,FeelTemp,Humidity,Wind_speed,Casual_users,Registered_users,Total_users,Casual_ratio,Registered_ratio
0,2011-01-01,Spring,0,1,0,Saturday,0,Normal(mist or/and cloudy),0.344167,0.363625,0.805833,0.160446,331,654,985,0.33604060913705586,0.6639593908629442
1,2011-01-02,Spring,0,1,0,Sunday,0,Normal(mist or/and cloudy),0.363478,0.35373899999999997,0.696087,0.24853899999999998,131,670,801,0.16354556803995007,0.83645443196005
2,2011-01-03,Spring,0,1,0,Monday,1,Good(clear or cloudy),0.196364,0.189405,0.43727299999999997,0.248309,120,1229,1349,0.08895478131949593,0.911045218680504
3,2011-01-04,Spring,0,1,0,Tuesday,1,Good(clear or cloudy),0.2,0.21212199999999998,0.590435,0.160296,108,1454,1562,0.06914212548015365,0.9308578745198464
4,2011-01-05,Spring,0,1,0,Wednesday,1,Good(clear or cloudy),0.22695700000000002,0.22926999999999997,0.436957,0.1869,82,1518,1600,0.05125,0.94875
5,2011-01-06,Spring,0,1,0,Thursday,1,Good(clear or cloudy),0.204348,0.23320900000000003,0.518261,0.0895652,88,1518,1606,0.0547945205479452,0.9452054794520548
6,2011-01-07,Spring,0,1,0,Friday,1,Normal(mist or/and cloudy),0.196522,0.208839,0.49869600000000003,0.168726,148,1362,1510,0.09801324503311258,0.9019867549668874
7,2011-01-08,Spring,0,1,0,Saturday,0,Normal(mist or/and cloudy),0.165,0.162254,0.535833,0.266804,68,891,959,0.07090719499478623,0.9290928050052137
8,2011-01-09,Spring,0,1,0,Sunday,0,Good(clear or cloudy),0.13833299999999998,0.116175,0.434167,0.36195,54,768,822,0.06569343065693431,0.9343065693430657
9,2011-01-10,Spring,0,1,0,Monday,1,Good(clear or cloudy),0.150833,0.15088800000000002,0.482917,0.22326700000000002,41,1280,1321,0.031037093111279335,0.9689629068887207
10,2011-01-11,Spring,0,1,0,Tuesday,1,Normal(mist or/and cloudy),0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,43,1220,1263,0.034045922406967535,0.9659540775930324
11,2011-01-12,Spring,0,1,0,Wednesday,1,Good(clear or cloudy),0.172727,0.160473,0.599545,0.304627,25,1137,1162,0.021514629948364887,0.9784853700516352
12,2011-01-13,Spring,0,1,0,Thursday,1,Good(clear or cloudy),0.165,0.150883,0.47041700000000003,0.301,38,1368,1406,0.02702702702702703,0.972972972972973
13,2011-01-14,Spring,0,1,0,Friday,1,Good(clear or cloudy),0.16087,0.188413,0.537826,0.126548,54,1367,1421,0.038001407459535536,0.9619985925404645
14,2011-01-15,Spring,0,1,0,Saturday,0,Normal(mist or/and cloudy),0.23333299999999998,0.248112,0.49875,0.15796300000000002,222,1026,1248,0.1778846153846154,0.8221153846153846
15,2011-01-16,Spring,0,1,0,Sunday,0,Good(clear or cloudy),0.231667,0.234217,0.48375,0.188433,251,953,1204,0.2084717607973422,0.7915282392026578
